"id","user_id","card_name","set","condition","graded","asking_price","notes","offer_eligible","trade_eligible","tcg_mkt_price","ebay_mkt_price","grading_service","timestamp_created","active","grade_value"
54,4,"Rocket's Scyther","Gym Heroes","2",FALSE,42,,FALSE,FALSE,,,,"2022-03-26 16:37:39.620249-05",TRUE,
55,4,"Mewtwo","WOTC Promo","1",FALSE,10,,FALSE,FALSE,,,,"2022-03-26 16:37:39.620249-05",TRUE,
56,4,"Mewtwo","WOTC Promo","1",FALSE,12,,FALSE,FALSE,,,,"2022-03-26 16:37:39.620249-05",TRUE,
66,4,"Diglett","Team Rocket","1",FALSE,4,,FALSE,FALSE,,,,"2022-03-27 15:00:37.59878-05",TRUE,
31,3,"Shining Magikarp","Neo Discovery","2",FALSE,200,"One of my Favorites",TRUE,FALSE,,,4,"2022-03-23 09:57:21.354318-05",TRUE,
35,3,"Charizard","Base Set","1",FALSE,1000,"Has been sitting in my closet for 20 years, it is in pack fresh condition. Let me know if you're interested, I need to pay rent!",TRUE,FALSE,,,2,"2022-03-25 10:21:03.482373-05",FALSE,
67,4,"Eevee","WOTC Promo","2",FALSE,15,,FALSE,FALSE,,,,"2022-03-27 15:00:37.59878-05",TRUE,
32,3,"Magikarp","Team Rocket","2",FALSE,2.5,"its an okay karp",TRUE,TRUE,,,4,"2022-03-23 10:00:28.865266-05",TRUE,
57,4,"Charizard","Legendary Collection","2",FALSE,87,,FALSE,FALSE,,,,"2022-03-26 19:39:56.962751-05",TRUE,
58,4,"Charizard","XY Evolutions","1",FALSE,1500,,FALSE,FALSE,,,,"2022-03-26 19:39:56.962751-05",TRUE,
59,4,"Charizard","XY FlashFire","2",FALSE,30,,FALSE,FALSE,,,,"2022-03-26 19:39:56.962751-05",TRUE,
60,4,"M Charizard EX","XY Evolutions","3",FALSE,75,,FALSE,FALSE,,,,"2022-03-26 19:39:56.962751-05",TRUE,
68,4,"Light Arcanine","Neo Destiny","1",FALSE,165,,FALSE,FALSE,,,,"2022-03-27 15:00:37.59878-05",TRUE,
61,4,"Charizard","Expedition","1",FALSE,78,,FALSE,FALSE,,,,"2022-03-26 19:39:56.962751-05",TRUE,
62,4,"Charizard VMAX","Darkness Ablaze","1",FALSE,200,,FALSE,FALSE,,,,"2022-03-26 19:39:56.962751-05",TRUE,
63,4,"Charizard","Base Set","2",FALSE,800,,FALSE,FALSE,,,,"2022-03-26 19:39:56.962751-05",TRUE,
64,4,"Charizard","Base Set","3",FALSE,720,,FALSE,FALSE,,,,"2022-03-26 19:39:56.962751-05",TRUE,
28,1,"Wooper","Neo Genesis","3",FALSE,10,"What a derp, one of my personal favorites!",FALSE,TRUE,,,4,"2022-03-19 15:31:10.210918-05",TRUE,
